danceability,energy,key,loudness,popularity
0.537,0.424,1,-11.448,1
0.379,0.276,9,-10.561,0
0.369,0.386,4,-9.105,0
0.725,0.327,0,-17.714,1
0.435,0.683,7,-13.837,1
0.609,0.535,9,-8.913,0
0.604,0.709,8,-6.377,1
0.438,0.749,11,-10.815,1
0.625,0.52,0,-7.911,0
0.304,0.453,11,-12.143,0
0.565,0.549,0,-13.023,0
0.192,0.197,1,-14.803,0
0.315,0.313,7,-9.31,0
0.519,0.45,5,-9.133,1
0.651,0.172,0,-14.556,1
0.428,0.432,8,-11.58,1
0.562,0.715,2,-8.481,1
0.718,0.572,11,-9.709,0
0.524,0.319,9,-10.114,0
0.484,0.412,2,-6.509,0
0.445,0.407,1,-9.501,1
0.502,0.666,5,-12.483,0
0.494,0.632,10,-12.71,0
0.546,0.156,2,-18.601,0
0.599,0.648,10,-10.893,1
0.381,0.552,9,-15.091,1
0.579,0.332,5,-16.673,0
0.431,0.374,9,-11.045,1
0.275,0.304,0,-12.556,0
0.565,0.729,0,-7.75,1
0.595,0.471,1,-10.626,1
0.368,0.259,6,-11.115,1
0.555,0.723,7,-11.875,1
0.701,0.303,3,-15.786,0
0.358,0.352,0,-11.467,0
0.441,0.596,2,-6.327,1
0.497,0.19,10,-11.957,0
0.586,0.213,5,-19.175,0
0.525,0.852,7,-9.519,1
0.658,0.405,9,-9.438,1
0.424,0.583,7,-9.617,0
0.805,0.473,10,-12.999,1
0.405,0.269,0,-18.225,0
0.304,0.196,10,-20.708,0
0.711,0.362,3,-10.851,1
0.593,0.549,7,-6.591,1
0.201,0.178,9,-16.461,0
0.256,0.355,11,-12.827,1
0.253,0.454,2,-11.041,1
0.649,0.208,5,-19.217,1
0.254,0.183,5,-13.423,0
0.569,0.369,10,-10.48,0
0.566,0.224,5,-15.366,1
0.417,0.473,3,-12.245,0
0.753,0.21,4,-20.219,0
0.439,0.425,1,-17.444,0
0.407,0.312,10,-12.634,1
0.433,0.106,6,-19.138,0
0.67,0.507,7,-8.274,1
0.63,0.525,2,-11.154,0
0.565,0.673,7,-12.46,1
0.45,0.805,11,-8.229,1
0.703,0.88,11,-7.133,1
0.452,0.403,11,-10.898,1
0.376,0.456,4,-8.367,1
0.409,0.705,0,-9.439,0
0.294,0.316,7,-9.903,0
0.472,0.508,9,-8.73,0
0.62,0.747,4,-6.326,0
0.718,0.672,0,-9.891,1
0.645,0.261,10,-16.782,0
0.71,0.35,5,-10.952,0
0.741,0.602,0,-10.458,1
0.535,0.874,4,-5.698,0
0.421,0.149,5,-11.599,0
0.463,0.902,0,-7.908,1
0.326,0.457,4,-8.162,0
0.563,0.754,6,-7.442,1
0.512,0.398,6,-8.581,0
0.483,0.578,0,-7.506,1
0.496,0.701,9,-9.506,1
0.552,0.608,1,-9.786,1
0.38,0.13,2,-17.021,1
0.593,0.363,5,-13.757,1
0.475,0.831,8,-6.502,1
0.589,0.426,5,-8.021,1
0.503,0.196,7,-14.449,0
0.222,0.459,6,-6.538,1
0.461,0.644,2,-3.012,1
0.38,0.286,10,-13.694,0
0.34,0.477,2,-12.165,0
0.553,0.677,4,-10.831,1
0.708,0.544,6,-7.377,1
0.258,0.157,1,-20.216,0
0.604,0.541,5,-8.676,1
0.432,0.712,0,-7.655,0
0.105,0.195,8,-17.114,0
0.472,0.454,0,-16.715,0
0.377,0.126,0,-20.972,0
0.408,0.364,7,-14.743,1
0.725,0.435,0,-14.235,1
0.407,0.479,2,-14.781,1
0.247,0.128,1,-19.283,0
0.45,0.368,7,-11.057,0
0.318,0.476,7,-9.534,1
0.518,0.5,4,-9.242,0
0.335,0.185,7,-19.82,0
0.662,0.671,0,-3.045,1
0.536,0.577,2,-8.955,1
0.51,0.488,7,-10.304,1
0.71,0.567,4,-9.394,1
0.204,0.139,11,-20.115,0
0.589,0.758,1,-4.158,1
0.746,0.255,10,-15.91,1
0.541,0.366,5,-9.19,1
0.629,0.795,6,-6.02,1
0.688,0.224,9,-13.569,1
0.403,0.503,2,-11.173,0
0.598,0.472,0,-12.547,0
0.636,0.275,10,-13.279,0
0.473,0.434,2,-10.02,1
0.641,0.695,10,-9.841,1
0.529,0.861,11,-10.581,1
0.548,0.421,0,-10.66,1
0.757,0.601,0,-9.295,1
0.719,0.67,2,-8.167,0
0.526,0.442,5,-5.994,0
0.607,0.67,0,-8.887,1
0.641,0.618,11,-13.79,1
0.496,0.599,2,-6.639,1
0.585,0.531,6,-10.506,0
0.766,0.176,3,-20.756,1
0.401,0.223,0,-16.15,0
0.734,0.458,10,-9.193,0
0.531,0.671,7,-10.819,0
0.651,0.488,9,-8.22,1
0.323,0.666,4,-5.925,1
0.685,0.677,11,-11.172,1
0.418,0.366,0,-14.939,0
0.48,0.26,4,-17.335,0
0.361,0.28,7,-13.422,1
0.27,0.0542,5,-17.667,0
0.66,0.0551,3,-21.671,0
0.715,0.542,10,-11.467,1
0.402,0.675,10,-8.872,1
0.646,0.526,3,-11.051,1
0.511,0.434,7,-11.185,1
0.326,0.114,6,-21.525,1
0.274,0.329,5,-10.076,1
0.692,0.865,9,-5.596,1
0.725,0.772,5,-8.814,1
0.583,0.547,9,-7.787,1
0.312,0.851,9,-7.262,0
0.627,0.66,1,-6.86,1
0.754,0.609,9,-12.203,0
0.238,0.671,5,-10.104,0
0.617,0.494,0,-13.96,1
0.654,0.703,2,-7.06,1
0.435,0.315,5,-11.066,0
0.272,0.369,5,-11.288,0
0.408,0.443,1,-14.326,0
0.507,0.384,8,-15.961,0
0.625,0.425,7,-17.903,0
0.393,0.395,4,-14.285,0
0.802,0.407,6,-10.857,1
0.311,0.361,0,-9.295,1
0.376,0.453,4,-10.865,0
0.187,0.425,9,-8.776,1
0.726,0.401,3,-7.524,1
0.475,0.344,7,-6.096,0
0.66,0.642,5,-7.109,1
0.546,0.669,1,-10.922,1
0.515,0.623,9,-5.597,1
0.654,0.452,2,-9.709,1
0.321,0.227,2,-14.297,0
0.382,0.449,11,-14.24,1
0.429,0.732,1,-7.34,1
0.513,0.303,3,-13.547,1
0.599,0.436,2,-14.691,1
0.467,0.76,0,-8.546,0
0.614,0.795,7,-7.953,0
0.476,0.219,8,-13.406,1
0.245,0.229,7,-4.989,0
0.399,0.641,4,-13.212,0
0.427,0.579,0,-9.509,1
0.356,0.408,2,-9.189,0
0.665,0.619,9,-8.99,1
0.458,0.631,7,-11.133,1
0.492,0.553,9,-8.6,0
0.297,0.323,0,-13.847,0
0.448,0.57,7,-13.631,1
0.851,0.435,0,-15.29,0
0.536,0.536,5,-11.223,1
0.626,0.51,3,-9.285,1
0.148,0.0889,9,-20.646,0
0.589,0.411,7,-11.1,1
0.412,0.358,11,-10.461,1
0.72,0.54,5,-11.483,1
0.23,0.273,5,-13.277,1
0.558,0.626,2,-5.558,0
0.494,0.445,3,-6.574,0
0.804,0.364,10,-10.681,1
0.533,0.123,5,-19.255,0
0.482,0.68,0,-6.689,0
0.468,0.433,6,-15.088,0
0.714,0.501,4,-9.232,1
0.389,0.478,1,-11.69,0
0.157,0.249,5,-12.711,0
0.687,0.0509,7,-19.173,0
0.213,0.292,5,-14.296,0
0.317,0.23,9,-12.902,0
0.629,0.647,6,-12.093,1
0.661,0.557,4,-8.244,1
0.668,0.253,4,-13.742,0
0.527,0.433,5,-9.94,1
0.585,0.571,0,-8.342,1
0.404,0.543,8,-17.131,0
0.501,0.741,2,-8.5,1
0.525,0.374,4,-13.045,1
0.693,0.577,7,-6.657,0
0.411,0.505,11,-9.282,1
0.699,0.536,3,-11.186,1
0.551,0.399,4,-10.32,0
0.322,0.925,4,-3.266,0
0.462,0.475,2,-11.381,0
0.49,0.498,0,-11.083,0
0.496,0.609,9,-9.459,0
0.389,0.286,6,-8.916,0
0.376,0.271,2,-13.852,0
0.337,0.286,5,-8.349,1
0.663,0.542,8,-8.842,1
0.671,0.625,7,-4.893,0
0.41,0.566,6,-11.073,1
0.808,0.705,11,-8.57,0
0.628,0.278,5,-16.662,0
0.555,0.732,0,-13.873,0
0.233,0.307,11,-9.149,0
0.49,0.842,10,-5.614,1
0.453,0.286,0,-12.652,0
0.253,0.232,0,-12.695,1
0.412,0.148,1,-19.607,0
0.683,0.803,5,-11.94,1
0.389,0.274,10,-14.202,0
0.7,0.903,7,-11.68,1
0.386,0.748,4,-17.523,0
0.555,0.534,0,-8.547,1
0.514,0.621,8,-6.825,0
0.318,0.383,9,-11.943,1
0.509,0.341,7,-12.555,0
0.65,0.535,4,-10.462,0
0.428,0.226,0,-11.94,0
0.56,0.753,0,-9.195,1
0.414,0.29,1,-12.859,0
0.6,0.184,3,-16.172,0
0.52,0.272,2,-9.158,1
0.696,0.529,11,-9.35,0
0.713,0.725,10,-7.376,1
0.692,0.641,0,-9.621,1
0.526,0.26,5,-13.6,1
0.752,0.471,8,-11.308,1
0.194,0.633,2,-3.078,0
0.549,0.34,0,-13.9,1
0.579,0.398,0,-13.318,0
0.595,0.857,1,-6.89,1
0.295,0.584,9,-6.696,1
0.629,0.544,11,-11.66,0
0.477,0.404,7,-15.389,1
0.38,0.557,2,-8.958,1
0.256,0.122,8,-18.97,0
0.598,0.324,6,-13.515,1
0.487,0.226,11,-19.129,0
0.573,0.749,9,-7.115,1
0.612,0.683,10,-8.53,1
0.619,0.557,7,-10.715,1
0.482,0.315,9,-8.763,1
0.623,0.455,0,-14.044,0
0.729,0.401,10,-9.458,0
0.253,0.235,10,-12.934,1
0.474,0.32,4,-9.398,0
0.33,0.35,10,-16.862,0
0.388,0.674,7,-11.495,1
0.833,0.625,10,-6.866,1
0.588,0.672,11,-17.278,1
0.344,0.325,4,-14.034,0
0.348,0.324,8,-13.139,0
0.362,0.305,10,-11.416,0
0.752,0.744,7,-7.842,1
0.458,0.102,4,-13.536,0
0.612,0.136,7,-12.687,1
0.329,0.434,8,-8.69,1
0.611,0.669,0,-12.532,0
0.536,0.784,2,-8.569,1
0.234,0.693,0,-8.277,1
0.558,0.633,7,-3.265,1
0.83,0.561,0,-6.378,0
0.626,0.597,0,-7.823,0
0.306,0.192,10,-19.255,0
0.644,0.288,0,-12.353,0
0.446,0.545,2,-10.108,0
0.396,0.452,7,-8.809,1
0.553,0.282,0,-14.02,0
0.41,0.13,2,-16.79,1
0.336,0.379,9,-12.99,1
0.467,0.486,6,-8.478,0
0.271,0.601,9,-12.56,0
0.319,0.249,1,-15.223,0
0.626,0.517,5,-5.126,0
0.603,0.581,9,-11.03,1
0.522,0.538,9,-8.509,0
0.503,0.566,9,-8.192,1
0.401,0.372,7,-9.119,0
0.28,0.0532,0,-21.6,0
0.562,0.697,7,-8.859,1
0.285,0.67,2,-5.107,0
0.663,0.527,9,-12.424,1
0.571,0.597,3,-7.616,1
0.629,0.579,6,-12.498,1
0.483,0.721,0,-6.836,1
0.665,0.782,6,-8.438,1
0.634,0.414,1,-12.165,1
0.575,0.219,6,-17.493,0
0.404,0.0634,2,-20.219,0
0.277,0.36,9,-16.67,0
0.596,0.714,9,-11.522,0
0.563,0.73,8,-10.672,0
0.799,0.661,8,-6.223,1
0.284,0.081,5,-22.396,0
0.495,0.241,0,-15.202,0
0.418,0.227,4,-15.537,0
0.62,0.17,8,-18.221,0
0.716,0.412,3,-12.064,1
0.36,0.124,5,-15.965,0
0.683,0.635,3,-6.488,1
0.604,0.591,8,-6.874,1
0.832,0.53,8,-11.55,1
0.606,0.236,3,-11.715,0
0.26,0.659,2,-8.98,1
0.43,0.685,6,-5.048,0
0.211,0.292,0,-12.922,0
0.584,0.229,10,-18.21,1
0.122,0.237,9,-14.808,0
0.371,0.495,2,-11.392,0
0.498,0.582,7,-8.961,1
0.342,0.179,0,-18.528,0
0.589,0.649,0,-7.793,1
0.706,0.151,6,-19.914,1
0.504,0.212,0,-16.756,0
0.247,0.135,4,-17.745,0
0.733,0.287,7,-14.076,1
0.504,0.578,4,-9.302,1
0.507,0.465,7,-11.475,0
0.396,0.365,2,-7.985,1
0.534,0.384,1,-11.41,1
0.465,0.161,3,-11.889,1
0.506,0.41,11,-9.521,1
0.23,0.454,9,-15.639,0
0.295,0.478,11,-7.98,1
0.376,0.504,0,-9.454,1
0.514,0.25,5,-16.405,1
0.545,0.312,4,-11.728,0
0.359,0.591,5,-8.668,1
0.508,0.403,8,-12.112,0
0.576,0.727,4,-9.973,1
0.281,0.418,7,-11.111,1
0.775,0.194,5,-16.883,1
0.526,0.17,0,-19.159,0
0.489,0.267,1,-17.082,0
0.526,0.419,2,-9.889,0
0.635,0.524,0,-11.778,1
0.435,0.445,6,-8.314,0
0.544,0.425,10,-10.231,1
0.672,0.435,6,-10.059,0
0.517,0.246,9,-11.992,1
0.491,0.909,0,-5.21,1
0.711,0.167,0,-17.839,1
0.474,0.436,9,-11.715,1
0.596,0.575,4,-14.254,1
0.862,0.0937,0,-15.738,1
0.415,0.14,5,-14.958,0
0.401,0.454,7,-11.52,1
0.155,0.187,6,-13.774,0
0.368,0.864,6,-5.926,1
0.714,0.408,0,-14.462,1
0.519,0.533,1,-12.462,0
0.631,0.544,0,-10.249,0
0.572,0.593,2,-8.639,1
0.493,0.189,4,-13.853,0
0.432,0.431,2,-12.037,1
0.432,0.427,4,-10.545,1
0.277,0.31,7,-10.643,1
0.505,0.295,10,-12.414,1
0.482,0.484,10,-8.987,1
0.418,0.436,11,-13.066,1
0.517,0.342,9,-12.332,0
0.487,0.385,10,-8.592,0
0.451,0.358,6,-17.064,1
0.522,0.672,0,-12.882,1
0.122,0.165,4,-15.358,0
0.53,0.465,2,-6.231,1
0.587,0.132,5,-12.665,0
0.635,0.701,6,-11.236,1
0.613,0.78,4,-5.411,0
0.564,0.319,10,-15.875,0
0.405,0.463,0,-16.167,1
0.498,0.266,10,-13.425,1
0.322,0.718,0,-11.428,1
0.237,0.32,9,-14.268,0
0.41,0.278,5,-14.448,0
0.482,0.401,3,-12.668,0
0.25,0.159,9,-16.753,0
0.417,0.469,7,-10.513,1
0.761,0.413,6,-15.45,1
0.461,0.367,2,-13.85,1
0.788,0.521,8,-9.12,0
0.417,0.515,7,-7.817,0
0.424,0.657,0,-5.801,1
0.632,0.509,6,-11.002,1
0.432,0.579,2,-8.812,0
0.703,0.722,4,-6.475,1
0.486,0.453,11,-8.2,1
0.531,0.555,1,-12.952,1
0.341,0.572,5,-8.604,1
0.684,0.864,1,-6.838,1
0.424,0.324,1,-8.323,1
0.363,0.333,11,-6.677,0
0.13,0.65,9,-5.606,0
0.477,0.361,2,-18.104,0
0.574,0.868,8,-6.697,0
0.747,0.769,9,-8.571,1
0.579,0.489,4,-16.461,0
0.417,0.41,10,-12.107,1
0.632,0.925,0,-5.148,0
0.688,0.342,7,-16.55,0
0.328,0.385,4,-12.011,0
0.559,0.429,5,-6.145,0
0.415,0.325,0,-12.676,0
0.619,0.241,9,-16.459,0
0.427,0.635,7,-15.031,0
0.559,0.934,8,-3.228,0
0.51,0.55,4,-9.606,0
0.617,0.808,10,-15.351,0
0.795,0.186,4,-18.567,1
0.475,0.152,7,-16.91,1
0.49,0.242,2,-16.683,0
0.602,0.578,3,-6.251,0
0.537,0.7,4,-6.852,1
0.607,0.807,2,-6.633,0
0.657,0.383,11,-8.969,0
0.443,0.181,0,-17.369,0
0.535,0.235,10,-12.764,0
0.521,0.565,10,-8.849,1
0.477,0.506,6,-11.669,1
0.752,0.51,5,-8.587,1
0.259,0.346,2,-14.652,0
0.388,0.368,1,-8.375,1
0.633,0.94,0,-7.749,0
0.466,0.125,11,-20.428,1
0.584,0.217,9,-15.429,1
0.488,0.673,0,-7.712,0
0.588,0.165,4,-20.076,1
0.534,0.115,0,-22.465,1
0.602,0.619,9,-11.751,1
0.558,0.738,0,-14.27,1
0.251,0.293,10,-14.754,0
0.818,0.363,10,-14.482,1
0.43,0.299,1,-14.231,0
0.211,0.259,6,-10.779,1
0.242,0.144,5,-20.39,0
0.529,0.484,2,-13.635,1
0.229,0.0642,3,-15.848,0
0.138,0.712,0,-5.271,0
0.568,0.733,10,-6.133,0
0.479,0.849,2,-5.249,0
0.764,0.516,7,-12.099,1
0.68,0.648,9,-9.482,1
0.595,0.643,5,-9.275,1
0.78,0.559,7,-11.206,1
0.567,0.574,10,-10.011,0
0.7,0.752,10,-4.56,1
0.483,0.571,10,-8.837,0
0.646,0.329,5,-12.575,1
0.587,0.599,10,-9.165,1
0.592,0.57,10,-15.243,0
0.176,0.0948,7,-21.2,0
0.702,0.374,7,-13.751,0
0.331,0.852,11,-7.008,1
0.721,0.535,8,-8.883,0
0.784,0.532,11,-8.763,1
0.435,0.656,0,-6.219,0
0.485,0.0714,7,-19.614,0
0.415,0.619,10,-10.5,0
0.679,0.281,2,-17.908,0
0.457,0.122,3,-18.622,0
0.571,0.525,0,-7.486,0
0.556,0.337,4,-6.181,0
0.524,0.553,0,-10.767,1
0.198,0.0972,11,-21.315,0
0.554,0.559,9,-4.146,0
0.702,0.704,9,-10.257,0
0.192,0.115,5,-18.222,0
0.676,0.211,3,-17.369,0
0.682,0.612,8,-7.004,1
0.523,0.37,5,-8.315,0
0.223,0.187,2,-13.047,0
0.552,0.636,3,-6.215,1
0.63,0.448,5,-15.015,1
0.647,0.769,11,-9.551,1
0.29,0.339,0,-17.977,0
0.664,0.545,2,-13.258,1
0.65,0.272,2,-18.52,1
0.236,0.23,4,-19.493,0
0.695,0.503,7,-9.313,1
0.655,0.513,5,-11.25,0
0.571,0.264,0,-16.709,0
0.262,0.341,9,-11.323,1
0.274,0.218,8,-14.442,0
0.583,0.286,6,-8.041,0
0.599,0.578,0,-10.635,0
0.529,0.168,10,-11.32,1
0.326,0.549,9,-13.886,0
0.608,0.6,10,-12.372,1
0.549,0.706,11,-10.06,1
0.301,0.634,5,-10.432,1
0.508,0.428,2,-12.716,1
0.588,0.795,9,-6.297,1
0.198,0.43,11,-10.538,1
0.653,0.0718,1,-14.563,0
0.419,0.287,4,-11.32,0
0.439,0.699,5,-9.627,0
0.544,0.455,7,-12.991,1
0.519,0.14,1,-19.216,0
0.528,0.68,10,-9.185,0
0.436,0.219,10,-17.6,0
0.247,0.283,9,-10.62,1
0.138,0.428,5,-13.387,1
0.464,0.518,5,-9.452,0
0.196,0.521,9,-11.724,0
0.567,0.587,9,-11.83,0
0.523,0.814,2,-9.377,0
0.536,0.0488,0,-20.183,0
0.403,0.503,2,-14.069,1
0.551,0.477,11,-11.067,1
0.538,0.566,2,-9.002,1
0.574,0.721,4,-8.34,0
0.651,0.651,7,-10.775,1
0.332,0.498,2,-7.33,0
0.592,0.612,8,-9.728,1
0.41,0.295,8,-15.14,0
0.62,0.66,5,-3.642,1
0.41,0.446,1,-17.75,0
0.441,0.438,5,-5.866,0
0.317,0.149,1,-16.821,0
0.653,0.376,0,-14.969,1
0.478,0.298,2,-13.842,1
0.361,0.428,7,-9.146,1
0.243,0.208,0,-17.188,0
0.152,0.276,7,-13.27,0
0.595,0.722,5,-11.593,0
0.601,0.913,1,-4.681,1
0.664,0.714,5,-7.752,0
0.523,0.769,2,-9.059,1
0.486,0.586,0,-8.007,0
0.403,0.615,9,-10.069,0
0.541,0.329,3,-7.756,0
0.516,0.188,9,-18.202,0
0.5,0.423,4,-9.411,1
0.508,0.438,0,-6.833,1
0.196,0.417,7,-8.161,0
0.648,0.242,0,-15.604,1
0.191,0.11,5,-17.857,0
0.656,0.743,5,-8.69,1
0.685,0.521,0,-7.733,0
0.388,0.19,0,-19.812,0
0.298,0.83,3,-7.343,1
0.612,0.227,5,-15.734,1
0.6,0.61,4,-11.434,1
0.517,0.533,0,-11.053,1
0.652,0.515,7,-19.55,1
0.339,0.406,10,-8.955,1
0.644,0.459,9,-11.702,1
0.666,0.909,4,-7.103,0
0.699,0.67,7,-10.307,1
0.61,0.688,7,-9.308,1
0.502,0.68,5,-11.368,1
0.674,0.184,5,-19.764,0
0.302,0.156,7,-15.285,0
0.587,0.608,2,-10.425,1
0.471,0.403,10,-13.495,0
0.188,0.391,7,-7.941,1
0.244,0.356,0,-13.262,1
0.349,0.302,2,-13.791,0
0.237,0.502,11,-14.019,0
0.546,0.734,1,-8.461,1
0.768,0.667,7,-9.93,0
0.237,0.188,1,-19.85,0
0.59,0.292,0,-10.665,0
0.579,0.485,10,-5.624,1
0.574,0.96,9,-0.81,1
0.469,0.598,7,-5.53,1
0.251,0.338,8,-11.897,1
0.443,0.217,3,-14.609,1
0.558,0.468,2,-11.112,1
0.282,0.937,9,-8.175,1
0.422,0.221,4,-14.568,0
0.508,0.253,3,-17.518,0
0.474,0.343,10,-11.856,0
0.59,0.659,5,-9.669,1
0.479,0.453,3,-12.806,1
0.689,0.399,3,-14.431,0
0.48,0.701,9,-6.417,1
0.154,0.185,5,-14.063,1
0.425,0.338,3,-9.712,0
0.673,0.645,5,-5.813,0
0.259,0.289,2,-10.491,1
0.533,0.194,10,-15.805,0
0.531,0.0277,7,-16.161,0
0.517,0.593,4,-5.658,1
0.323,0.695,9,-11.953,0
0.378,0.447,2,-10.45,0
0.611,0.43,10,-7.799,0
0.602,0.815,1,-6.601,1
0.568,0.832,5,-9.929,0
0.549,0.529,3,-12.291,1
0.529,0.44,5,-9.11,1
0.27,0.367,5,-12.577,1
0.419,0.516,5,-8.152,1
0.431,0.547,0,-10.533,0
0.481,0.662,4,-7.287,0
0.622,0.387,7,-11.043,1
0.645,0.51,5,-10.733,0
0.188,0.206,9,-17.323,0
0.519,0.445,2,-15.858,0
0.538,0.291,5,-16.261,0
0.321,0.474,5,-9.383,1
0.53,0.873,4,-5.105,1
0.585,0.684,7,-7.133,0
0.416,0.288,2,-17.273,0
0.243,0.303,5,-12.135,0
0.597,0.516,5,-10.61,0
0.432,0.403,2,-14.835,0
0.628,0.742,4,-6.674,0
0.714,0.551,2,-6.17,1
0.753,0.536,7,-14.568,1
0.362,0.443,0,-7.525,0
0.525,0.637,11,-8.409,1
0.498,0.589,5,-6.776,1
0.441,0.603,2,-11.486,0
0.677,0.446,2,-12.391,1
0.443,0.359,11,-13.26,0
0.616,0.323,1,-12.569,0
0.493,0.796,7,-7.391,1
0.445,0.333,7,-8.364,0
0.534,0.468,0,-8.76,1
0.621,0.43,7,-11.163,1
0.362,0.151,10,-17.02,0
0.754,0.424,2,-8.463,1
0.697,0.697,4,-4.863,1
0.357,0.341,8,-8.789,1
0.283,0.274,7,-12.292,1
0.298,0.209,0,-15.301,0
